cliente;linha_origem;categoria;material;marca;codigo;pagina_catalogo;acabamento;aplicacao;quantidade;unidade;temperatura_led;distribuicao_led;observacoes;texto_original
GLIA (VISUAL);3;tinta;VERDE CLARCK;;;;;;;;;[];;VERDE CLARCK
GLIA (VISUAL);3;tinta;AZUL MBB 507;;MBB 507;;;;;;;[];;AZUL MBB 507
GLIA (VISUAL);3;tinta;MARRON ASTECA;;;;;;;;;[];;MARRON ASTECA
GLIA (VISUAL);3;tinta;AMARELO HYSTER;;;;;;;;;[];;AMARELO HYSTER
GLIA (VISUAL);3;tinta;LARANJA JACTO;;;;;;;;;[];;LARANJA JACTO
SOW;4;tinta;CINZA NIQUEL;;;;;;;;;[];;CINZA NIQUEL
SOW;4;tinta;AZUL GP;;;;;;;;;[];;AZUL GP
SENAC;5;tinta;AMOR;;;42;;;;;;[];;AMOR - PAG. 42
CAROL COXINHA;6;tinta;AMOR;;;42;;;;;;[];;AMOR - PAG. 42
CAROL COXINHA;6;tinta;DELICIA DE VERÃO;;;;;;;;;[];;DELICIA DE VERÃO
JORGE BICHOFF;7;tinta;BEGE SAARA FIAT ACS;;;;;;;;;[];;BEGE SAARA FIAT ACS
PATINHAS;8;tinta;VERDE PATINHAS;;;;;;;;;[];;VERDE PATINHAS
PATINHAS;8;tinta;BEGE CHAPAGNE;;;;;;;;;[];;BEGE CHAPAGNE
BELTEZ;9;tinta;BEGE CHAMPAGNE;;;;;;;;;[];;BEGE CHAMPAGNE
BELTEZ;9;tinta;VERMELHO TRIBAL SÃO RAIMUNDO TORO ESP;;00600942;;;;;;;[];Referência: GENERAL FLEET COLOR 00800044;VERMELHO TRIBAL SÃO RAIMUNDO TORO ESP 00600942 / REFERENCIA - GENERAL FLEET COLOR 00800044
PORTO RICO - 2B;10;tinta;VERMELHO COBALT;;;;;;;;;[];;VERMELHO COBALT
PORTO RICO - 2B;10;tinta;CINZA;;;;;;;;;[];;CINZA
PATIO DOS CARROS;11;tinta;CINZA CHUMBO;;;;;;;;;[];;CINZA CHUMBO
PATIO DOS CARROS;11;tinta;VERMELHO FLEX;;;;;;;;;[];;VERMELHO FLEX
PATIO DOS CARROS;11;tinta;BRANCO;;;;;;;;;[];;BRANCO
DELLANO;12;tinta;CINZA PANTONE;;;;;;;;;[];;CINZA PANTONE
DELLANO;12;verniz_acabamento;VERNIZ FOSCO;;;;Fosco;;;;;[];;VERNIZ FOSCO
TODESCHINE;13;tinta;CINZA PANTONE;;;;;;;;;[];;CINZA PANTONE
TODESCHINE;13;verniz_acabamento;VERNIZ FOSCO;;;;Fosco;;;;;[];;VERNIZ FOSCO
TODESCHINE;13;tinta;VERMELHO FLEX;;;;;;;;;[];;VERMELHO FLEX
DONNA;14;tinta;CINZA PANTONE;;;;Brilho;;;;;[];;CINZA PANTONE BRILHO
JAMILY BRAGA - 2B;15;tinta;DOURADO PALHA;;;;;;;;;[];;DOURADO PALHA
JAMILY BRAGA - 2B;15;tinta;OLYMPIC WHITE;;;;;;;;;[];;OLYMPIC WHITE
DAM EMPORIO;16;tinta;LAPIS DE COR;;;;;;;;;[];;LAPIS DE COR
DAM EMPORIO;16;tinta;VERMELHO ENCANTO;;;;;;;;;[];;VERMELHO ENCANTO
PISOS;17;tinta;LARANJA SCANIA;;;;;;;;;[];;LARANJA SCANIA
PISOS;17;tinta;PRETO FOSCO;;;;Fosco;;;;;[];;PRETO FOSCO
BKIT;18;tinta;VERMELHO INTENSO;;;;;;;;;[];;VERMELHO INTENSO
TOTEM 2B;20;tinta;LARANJA CALIFORNIA FORD;;;;;;;;;[];;LARANJA CALIFORNIA FORD
RIBEIRO LOPES;21;tinta;COSTA OCEANICA;;;168;;;;;;[];;COSTA OCEANICA PAG.168
RIBEIRO LOPES;21;tinta;TOPO DA TORRE;;;292;;;;;;[];;TOPO DA TORRE PAG.292
RIBEIRO LOPES;21;tinta;PEDAÇO DO OCEANO;;;169;;;;;;[];;PEDAÇO DO OCEANO - PAG. 169
OGROS;22;tinta;BELVEDERES;2B;;;;;;;;[];;BELVEDERES (2B)
OGROS;22;tinta;PRETO CADILAC;;;;;;;;;[];;PRETO CADILAC
OGROS;22;outro;LOGOS NO ADESIVO;;;;;;;;;[];Observação da planilha: LOGOS NO ADESIVO;LOGOS NO ADESIVO
LINDA D'MAIS;23;tinta;BRONZE;;;;;;;;;[];;BRONZE
LINDA D'MAIS;23;tinta;BRANCO FOSCO;;;;Fosco;;;;;[];;BRANCO FOSCO
CHÁCARA PORTO SEGURO;24;tinta;MARRON SAVEIRO;;;;;;;;;[];;MARRON SAVEIRO
UNIÃO CENTER;25;tinta;MERGULHO DE VERÃO;;;145;;;;;;[];;MERGULHO DE VERÃO PAG. 145
UNIÃO CENTER;25;tinta;VERDE LUDICO PRADOS;;;115;;;;;;[];;VERDE LUDICO PRADOS PAG. 115
AROMA DE LUXO;26;tinta;SUZUKI VENUS GOLD (DOURADO);Visual;06494;;;;;;;[];;SUZUKI VENUS GOLD (DOURADO) / COD. 06494 (VISUAL)
CONSTANCE;27;tinta;MARROM MERCEDES BENZ 0865 1989 METÁLICO;Lazzuril;0865;;Metálico;;;;;[];Base poliéster;MARROM MERCEDES BENZ 0865 1989 METÁLICO BASE POLIÉSTER, LAZZURIL
CONSTANCE;27;verniz_acabamento;VERNIZ SHERWI POLIURETANO 6100 FOSCO;Sherwin;6100;;Fosco;;;;;[];;VERNIZ SHERWI POLIURETANO 6100 FOSCO
NASSAU;28;tinta;AMARELO CROMO SINTETICO;;;;;;;;;[];;AMARELO CROMO SINTETICO
NASSAU;28;tinta;VERMELHO FLASH;;;;;;;;;[];;VERMELHO FLASH
HEMISSUL;29;tinta;BRANCO;;;;;;;;;[];;BRANCO
